日付,演奏会名,会場,指揮,演目
1975/11/29,"第18回市民文化祭
吹奏楽演奏会",東京都立川社会教育会館ホール,,"ウィーンはいつもウィーン（Ｊ．シュトラウス）
トリッチ・トラッチ・ポルカ（Ｊ．シュトラウス）
ワルツ「金と銀」（レハール）
「軽騎兵」序曲（スッペ）

～ＳｏｕｎｄｉｎＳｃｒｅｅｎ～
サウンド・オブ・ミュージック
ロメオとジュリエット
その他．．．

～ラテン・ナンバー～
オリーブの首飾り
イパネマの娘
その他．．．"
1975/6/18,第4回定期演奏会,東京都立川社会教育会館ホール,,"「パリスとヘレナ」序曲（グルック）
ラデツキー行進曲（Ｊ．シュトラウス）
トッカータ（フレスコバルディ）
静かの海（ゴードン）
序奏とカプリス（カーター）

オンリー・ユー
想い出のサンフランシスコ
ブラジル
パヴァーヌ（Ｍ．グールド）
アメリカン・サリュート（Ｍ．グールド）"
1974/12/7,"第17回市民文化祭
吹奏楽演奏会",東京都立川社会教育会館ホール,,"バラの謝肉祭（オリヴァドッティ）
フランス軍隊行進曲（サン＝サーンス）
シンフォニック・コラール（オスターリング）
クィーン・シティ組曲（カーター）

～あなたが選ぶスターベスト１０～
「華麗なる映画スター」
（あなたのリクエストによってスターの代表作を．．．）"
1974/6/22,第3回定期演奏会,東京都立川社会教育会館ホール,,"「エグモント」序曲（ベートーヴェン）
神聖な殿堂の貴族たち（スーザ）
トッカータ・フォア・バンド（エリクソン）
吹奏楽のための第３組曲（スピアーズ）

～グレン・ミラー特集～
ムーンライト・セレナーデ
真珠の首飾り
茶色の小瓶
ペンシルバニア６５０００
イン・ザ・ムード

日本の歌－浜辺の歌－
コルネットの鐘
インシャラー
ブラジリアン・ファンタジー
ライム・ライト"
197311/17,"第16回市民文化祭
吹奏楽演奏会",東京都立川社会教育会館ホール,,"行進曲「太陽の下に」(奥村一）
シンコペイテッド・マーチ「明日に向かって」（岩井直博）
優雅な行進曲（藤田玄播）
聖歌と祭り（マクベス）
交響曲第２番より終楽章（シベリウス）

ジャングル大帝
七つの子
ファンタジー「夕焼けの中の子どもたち」（阿部光佑編）
明日にかける橋
ディス・ガイ
スイング・ボレロ"
1973/6/16,第2回定期演奏会,東京都立川社会教育会館ホール,,"歌劇「盗むカササギ」序曲（ロッシーニ）
行進曲「星条旗」（ジェイガー）
シンフォニック・コラール
シンフォニック・ダンスＮｏ．３（Ｃ．ウィリアムズ）
クマーナ
チャチャチャフラメンコ
タブー
テキーラ

「ベン・ハー」序曲
日本の歌－赤とんぼ－
サクソフォン・ポピュラー・メドレー
エーゲ海の真珠
ラブ・ミー・トゥナイト
栄光への脱出"
1972/12/3,"第15回市民文化祭
吹奏楽演奏会",,,"ミュンヘン・ファンファーレ・マーチ
消えた軍隊（アルフォード）
キング・コットン（スーザ）
ペルシアの市場にて（ケテルビー）
ジャングル・マジック序曲
～ニーノ・ロータ特集～
太陽がいっぱい
ゴッド・ファーザー
愛のテーマ～ロメオとジュリエット

闘牛士のマンボ
オンリー・ユー
雨にぬれても
ヘイ・ジュード
イタリアン・フェスティバル"
1972/6/17,第1回定期演奏会,東京都立川社会教育会館ホール,,"祝典序曲（ショスタコーヴィチ）
コンサート組曲
サンダークレスト
英雄行進曲（サン＝サーンス）
ムーンライト・セレナーデ
雨
クロス・トゥ・ユー
マーシーマーシーマーシー

日本の歌－きこり－
カプリシャスアロイシャス
マンボ・ジャンボ
勝利の讃歌
ワシントン・ポスト
ロック・ブラザー・ロック"
