日付,演奏会名,会場,指揮,演目
2005/11/19,"第48回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志
阿部重行(*)","ジュビラーテ（R.Jager）(*)
主よ導きたまえ（D. R.Gillingham ）(*)
ハイランド讃歌組曲（P.Sparke）

ソーラン節ロックバージョン
ディスコ・パーティー3
We are all alone
翔べ！ガンダム
Mr.インクレディブル
ハウルの動く城より"
2005/6/11,第34回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","サキソフォン：林田和之(**)

パクス・ロマーナ（松尾善雄）
連作交響詩「わが祖国」より「モルダウ」（B.スメタナ）(*)
サックスへの捧げ物（A.クレパン）

バレエ音楽「白鳥の湖」より（P.I.チャイコフスキー）"
2004/11/27,"第47回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"ブルーインパルス（斉藤高順）
エニグマ変奏曲より「ニムロッド」（E.エルガー）
オセロ　（A.リード）
Ａ列車で行こう
シャンソンメドレー
サンバ・デ・アイーダ
ホールニューワールド
キャラバンの到着
山口百恵メドレー"
2004/6/19,第33回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志
下神竜哉(**)","ユーフォニアム：青島可奈(***)

スター・パズル・マーチ（小長谷宗一）(**)
ユーフォニアム協奏曲（Ｐ・スパーク）(***)
吹奏楽のための三章／今昔物語「六宮姫君夫出家物語」考（柳生季生）(*)

交響曲第１番「指輪物語」（ヨハン・デ＝メイ）"
2003/11/23,"第46回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"手塚治虫アニメセレクション
組曲「宇宙戦艦ヤマト」（宮川泰）
交響組曲第３番「ＧＲ」より（天野正道）
～ＴＶ放送５０周年特集～
ズームイン朝
踊る大捜査線
地上の星～ヘッドライト・テールライト
テレビＣＭメドレー
ソング・オブ・ライフ
ドリフターズ・メドレー
時代劇えきすぷれす"
2003/7/5,第32回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","ホルン：堂山敦史(**)
合唱：ＧＲフェスティバルシンガーズ(***)
合唱指揮：中館伸一(***)

マーチ「ベスト・フレンド」（松浦伸吾）
パストラーレ（保科洋）(*)
古祀（保科洋）(*)
ホルン協奏曲第１番（Ｒ・シュトラウス）(**)

交響組曲第２番「ＧＲ」より（天野正道）(***)"
2002/11/23,"第45回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","コンサート・プレリュード（スパーク）
リバー・ダンス（ウィーラン）
「第６の幸福をもたらす宿」（アーノルド）
「利家とまつ」メインテーマ
ＧＳエキスプレス
りんご追分
ジャパニーズグラフィティVIII「ウルトラ大行進」
ベイブリーズ
エンドレス・ラブ
禿山の一夜"
2002/6/22,第31回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","バス・クラリネット：加藤明久(**)

コッドスピード（S.メリッロ）
バレエ音楽「ライモンダ」より（A.グラズノフ）
交響詩「ローマの噴水」（O.レスピーギ）(*)

スポットライツ・オン・ザ・バスクラリネット（J.ハーデルマン）(**)
「メリー・ウィドウ」セレクション（F.レハール）"
2001/11/10,"第44回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志
菅原徳太郎","ミネルヴァ（ヴァン＝デル＝ロースト）
リバー・シティ・セレナーデ（スパーク）
フェスティバル・バリエーションズ（C.T.スミス）
～宇宙特集～
オープニング～「２００１年宇宙の旅」より
スター・トレック
宇宙のファンタジー
Ｅ．Ｔ．
ボイジャー

ルパン３世
時の過ぎ行くままに
デープ・パープル・メドレー"
2001/7/8,30周年記念演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","トランペット：下神竜哉(**)

英雄行進曲（サン＝サーンス）
エルザの大聖堂への行列（ワーグナー）
トランペット協奏曲（アルチュニアン）(**)
アルメニアン・ダンス－全曲－（Ａ．リード）(*)

カーペンターズ・フォーエバー
アルフィー
アメリカン・グラフィティ"
