日付,演奏会名,会場,指揮,演目
1985/11/,"第28回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,
1985/6/,第14回定期演奏会,"立川市市民会館
大ホール","都築啓志",
1984/11/17,"第27回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"オリンピック・ファンファーレ＆テーマ（Ｊ．ウィリアムズ）
シンフォニック・プレリュード（Ａ．リード）
カウボーイ・ラプソディ（Ｍ．グールド）
古いアメリカ舞踏組曲（ベネット）

シング・シング・シング
スリーピー・ラグーン－チリビンビン
ロックンロール・メドレー
カリフォルニア・ブルー
アンティル・ザ・ナイト
デューク・エリントン・メドレー"
1984/6/16,第13回定期演奏会,"立川市市民会館
大ホール","都築啓志","コロシウス・オブ・コロンビア（アレキサンダー）
行進曲～「マチネー・ミュージカル」（ブリテン）
アリア（Ｊ．Ｓ．バッハ）
第３組曲（スピアーズ）

交響曲第３番（ジャンニーニ）

７６本のトロンボーン
チャップリン・メドレー
ロンドンデリーエア
「キャッツ」メドレー"
1983/11/19,"第26回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",中山徳述,"ナイルの守り（アルフォード）
ウェールズの歌（ディビス）
吹奏楽のための第２組曲（ホルスト）
トッカータ・マルチアーレ（Ｒ．Ｖ．ウィリアムズ）

ルート１０１－ファンダンゴ
この女こそは
アイ・リメンバー・クリフォード
ディスコ・メドレー
ウィーアーオールアローン
スタートレックのテーマ
ディズニー・メドレー"
1983/6/18,第12回定期演奏会,"立川市市民会館
大ホール","阿部光祐(*)
都築啓志","貴族たちの行列～歌劇「ムラーダ」（リムスキー＝コルサコフ）
トッカータ（フレスコバルディ）
春の猟犬（Ａ．リード）
飛鳥（櫛田てつ之扶）(*)
メタモルフォージス（浦田健次郎）(*)
シンフォニックバンドのためのパッサカリア（兼田敏）(*)

マドリッドへの夜間飛行
グリーン・パーク
ビギン・ザ・ビギン
“Ｅ．Ｔ．”より（Ｊ．ウィリアムズ）"
1982/11/20,"第25回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール","都築啓志
中山徳述(*)","フェスティーヴ・オーバーチュア（Ａ．リード）(*)
ロシアン・クリスマス・ミュージック（Ａ．リード）(*)
ラッシュモア（Ａ．リード）
第３組曲（Ａ．リード）

フォーラブオブアイビー
ビートルズから
ナイトフライト
エンドレスラブ
チャックマンジョーネから
グリズリーのテーマ
アイス・キャッスル"
1982/6/19,第11回定期演奏会,"立川市市民会館
大ホール","阿部光祐(*)
都築啓志","行進曲変ロ長調作品９９（プロコフィエフ）
第２組曲（ジェイガー）
カプリチオ・コンチェルタンテ（マクベス）
亜麻色の髪の乙女（ドビュッシー）(*)
カウボーイの休日～「ロデオ」（コープランド）(*)

さらばジャマイカ
口笛吹きと小犬
ラブ・ストーリー
シェリトリンド～ブラジル
ウエスト・サイド・ストーリー・メドレー"
1981/11/21,"第24回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"ザ・ミュージック・メイカーズ（Ａ．リード）
戸外の序曲（コープランド）
シンフォニー・イン・スティール（パラング）
戴冠式行進曲「王冠」（ウォルトン）

～Ｆｒｏｍ　００７　ｗｉｔｈ　Ｌｏｖｅ～
ジェームズボンドのテーマ
危機一髪
ロシアより愛を込めて
ゴールド・フィンガー
ムーン・レイカー
００７は２度死ぬ
死ぬのは奴らだ
黄金銃を持つ男
女王陛下の００７
ダイヤモンドは永遠に
ユア・アイズ・オンリー"
1981/6/20,第10回定期演奏会,"立川市市民会館
大ホール","阿部光祐(*)
都築啓志","行進曲「フロレンティナー」（フチーク）
軽業師の踊り～歌劇「雪娘」（リムスキー＝コルサコフ）
楽劇「ニュルンベルグのマイスタージンガー」前奏曲（ワーグナー）
エピソード・フォア・バンド（レイゾ）(*)
吹奏楽のための第２組曲（Ａ．リード）(*)

ライムライト
日本の歌－浜辺の歌－
想い出のサンフランシスコ
ニューサウンズ・イン・メモリー
マイ・ウェイ"
