日付,演奏会名,会場,指揮,演目
1990/11/10,"第33回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"戴冠式行進曲～歌劇「予言者」（マイヤベーヤ）
ワルツ「女学生」（ワルトトイフェル）
アリオーソ（Ｊ．Ｓ．バッハ）
交響詩「フィンランディア」（シベリウス）

ロックン・ロール・メドレー
好きにならずにいられない
アメリカン・グラフィティ
煙が目にしみる
アイ・ガット・リズム"
1990/6/16,第19回定期演奏会,"立川市市民会館
大ホール","都築啓志","リバティ・ファンファーレ（Ｊ．ウイリアムズ）
「イーストウィックの魔女たち」より（Ｊ．ウイリアムズ）
カウボーイ序曲（Ｊ．ウイリアムズ）

組曲「展覧会の絵」（ムソルグスキー）"
1989/11/18,"第32回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"テキサスを讃えて（Ａ．リード）
セレナーデとダンス（Ｃ．Ｔ．スミス）
オセロ（Ａ．リード）

ジャングルドラムズ
シボネー
グリーン・アイズ
マンボＮｏ．５
セレソローサ－闘牛士のマンボ
イパネマの娘
エル・クンバンチェロ"
1989/6/17,第18回定期演奏会,"立川市市民会館
大ホール","都築啓志","行進曲変ロ長調作品９９（プロコフィエフ）
バレエ音楽「眠りの森の美女」より（チャイコフスキー）
スラヴ行進曲（チャイコフスキー）

バレエ組曲「ロメオとジュリエット」より（プロコフィエフ）"
1988/11/12,"第31回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"ロイヤル・エア・フォース・マーチ・パスト（ディヴィス）
チルドレンズ・マーチ（グレインジャー）
イギリス民謡組曲（Ｒ．Ｖ．ウィリアムズ）

「威風堂々」第１番（エルガー） 　組曲「サンダーバード」（グレイ）
セントルイス・ブルース・マーチ
酒とバラの日々
ゴスペルジョン"
1988/6/15,第17回定期演奏会,"立川市市民会館
大ホール","都築啓志","セカンド・センチュリー（Ａ．リード）
ホワイト・ウォーター・フェスティヴァル（シェーファー）
プロセルピナの丘（Ａ．リード）
シンフォニア・フェスティーヴァ（ラニング）

「ウエスト・サイド・ストーリー」より（Ｌ．バーンスタイン）"
1987/11/7,"第30回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール","阿部重行
菅原徳太郎(*)","フォール・リバー序曲（シェルドン）
ロマネスク（スウェアリンジェン）
第３組曲（ジェイガー）(*)
アルメニアン・ダンス Part2（Ａ．リード）(*)

ギブ・ミー・アップ－ゲラウト・オブ・マイ・ライフ
トワイライト・ハイウェイ
モーニング・ダンス
オーバー・ザ・レインボー
オーメンズ・オブ・ラブ
アニー"
1987/6/20,第16回定期演奏会,"立川市市民会館
大ホール","都築啓志","戴冠式行進曲（チャイコフスキー）
交響詩「中央アジアの草原にて」（ボロディン）
「コラ・ブルニョン」序曲（カバレフスキー）

ラプソディ・イン・ブルー（ガーシュウィン）
キューバ序曲（ガーシュウィン）"
1986/11/15,"第29回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"マーチ・オブ・ザ・ペースメーカー（ラングフォード）
クイーン・シティ組曲（カーター）
エル・カミーノ・レアル（Ａ．リード）
ストライク・アップ・ザ・バンド
サウス・ランパート・ストリート・パレード

バードランド
すべてをあなたに
「コーラスライン」メドレー
「レイダース」マーチ（Ｊ．ウィリアムズ）"
1986/6/21,第15回定期演奏会,"立川市市民会館
大ホール","阿部光祐(*)
都築啓志","アパラチアン序曲（バーンズ）
コンサート・マーチ「テイク・オフ」（建部知弘）
パストラーレ（保科洋）
ファンファーレ、バラード＆ジュビリー（Ｃ．Ｔ．スミス）

目覚めよと呼ぶ声が聞こえ（Ｊ．Ｓ．バッハ）
交響詩「ローマの松」（レスピーギ）"
