日付,演奏会名,会場,指揮,演目
2000/11/11,"第43回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志
菅原徳太郎(*)","ジュビリー序曲（Ｐ．スパーク）(*)
ホープタウンの休日（Ｓ．ライニキー）(*)
イーストコーストの風景（Ｎ．ヘス）

～ラテン音楽特集～
テキーラ
カーニバルの朝、オルフェのサンバ～「黒いオルフェ」
フレネシー
マンボＮｏ．８
ウェーブ
キャリオカ"
2000/6/17,第29回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","トロンボーン：金沢茂(**)

ファンファーレとアレグロ（Ｃ．ウィリアムズ）(*)
ああ、涼しい谷間（パーシケッティ）(*)
ジェリコ～シンフォニック・バンドのためのラプソディ（Ｍ．グールド）(*)

トロンボーン協奏曲（Ｒ＝コルサコフ）(**)
組曲「皇帝サルタンの物語」より「行進曲」「３つの奇蹟」（Ｒ＝コルサコフ）"
1999/11/13,"第42回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"春の猟犬（Ａ．リード）
海の男達の歌（Ｒ．Ｗ．スミス）
アイルランドの伝説（Ｒ．Ｗ．スミス）

「スターウォーズ」３部作からの組曲（Ｊ．ウィリアムズ／ハンスバーガー）

～映画音楽特集～
タラのテーマ～「風と共に去りぬ」
「シャル・ウィ・ダンス？」
“ＭＡＳＫ”より
“Ｍｙ　Ｈｅａｒｔ　ｗｉｌｌ　ｇｏ　ｏｎ”～「タイタニック」
「メモリーズ・オブ・ヘンリーマンシーニ」"
1999/6/19,第28回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","マリンバ：大沢純子(**)

祝典のための音楽（スパーク）
２つのバガテル（Ａ．リード）
マリンバと吹奏楽のためのコンチェルティーノ（Ａ．リード）(**)

チルドレンズ・マーチ（グレインジャー）(*)
コロニアル・ソング（グレインジャー）(*)
ガム＝サッカーズ・マーチ（グレインジャー）(*)

「キャンディード」序曲（Ｌ．バーンスタイン）
「キャンディード」組曲（Ｌ．バーンスタイン）"
1998/11/21,"第41回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"組曲「惑星」より「火星」、「木星」（ホルスト）

バレエ組曲「くるみ割り人形」（チャイコフスキー）

～ディズニー特集～
星に願いを
ディズニー・ファンティリュージョン
フィール・ザ・マジック
サークル・オブ・ライフ～「ライオン・キング」
チム・チム・チェリー～「メリー・ポピンズ」
パート・オブ・ユア・ワールド～「リトル・マーメイド」
ビー・アワ・ゲスト～「美女と野獣」
ディズニー・カーニバル
ミッキーのマジックランド"
1998/6/20,第27回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","オーボエ：杉本真木(**)

戴冠式行進曲（チャイコフスキー）
アンダンテ・カンタービレ（チャイコフスキー）
グリンカの主題による変奏曲（Ｒ＝コルサコフ）(**)

信濃囃子（小山清茂）(*)
木挽歌（小山清茂）(*)
大阪俗謡による幻想曲（大栗裕）(*)

「ヴァレンシアの寡婦」組曲（ハチャトゥリアン）"
1997/11/22,"第40回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","～ヴァン＝デル＝ロースト作品集～
アルセナール
スラヴィア
アントワープ讃歌
祝典序曲「オリンピカ」

～宮崎駿監督アニメ作品の音楽より～
天空の城ラピュタ
となりのトトロ
魔女の宅急便
紅の豚
風の谷のナウシカ
もののけ姫

江差追分－ソーラン節
シャレード
アルフィー
アメリカン・グラフィティⅧ～フランク・シナトラ・メドレー"
1997/6/21,第26回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","フルート：河野洋子(**)

フランス軍隊行進曲（サン＝サーンス）
サラバンド（ドビュッシー）
タイスの瞑想曲（マスネ）(**)
バレエ音楽「パリの喜び」より（オッフェンバック／ロザンタール）

４つのスコットランド舞曲（アーノルド）(*)
リンカンシャーの花束（グレインジャー）(*)"
1996/11/16,"第39回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"マーキュリー（ヴァン＝デル＝ロースト）
第５組曲（Ａ．リード）
ドラゴンの年（スパーク）
～Ｍｕｓｉｃ　ｏｆ　ドラゴンクエスト～
「ドラゴンクエスト　イン　ブラス」より

ハリウッド万歳－ショウほど素敵な商売はない
私のお気に入り
「スパイ大作戦」のテーマ
美女と野獣"
1996/6/15,第25回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","アメリカン・サリュート（Ｍ．グールド）
セレナーデ～シンフォニエッタ第２番（スパーク）
メキシコの祭り（Ｏ．リード）

「イベリア」より（アルベニス）(*)
「ルイス・アロンソの結婚式」間奏曲（ヒメネス）(*)"
