日付,演奏会名,会場,指揮,演目
2020/11/22,"第63回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","海を越える握手（J.F.スーザ）
ロンドンデリーの歌（アイルランド民謡）
吹奏楽のための民話（J.A.コーディル）
麒麟がくる（J.グラム）
星影のエール（GReeeeN）
宝島（和泉宏隆　編曲：真島俊夫）
ディズニーメドレーⅠ（岩井直溥）

【アンコール】
長崎の鐘(古関裕而　編曲：渡辺幸子）
栄冠は君に輝く（古関裕而）"
2019/11/17,"第62回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール",都築啓志,"【Ⅰ部】
アパラチアン序曲（J.バーンズ）
さくらのうた（福田洋介））
トランペット吹きの休日（L.アンダーソン）
クラリネット・キャンディ（L.アンダーソン）
吹奏楽のための第二組曲（Aリード）

【Ⅱ部】
「いだてん」メインテーマ（大友良英）
台所用品による変奏曲（D.ギリス）
ディズニー・スペシャル・メドレー
ムーン・リバー（J.P.スーザ）
エル・クンバンチェロ（Ｒ.エルナンデス）

【アンコール】
オリンピックマーチ（古関裕而）
星に願いを（L.ハーライン）"
2019/6/22,第48回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
シンフォニア・ノビリッシマ（R.ジェイガー）
「あんたがったどこさ」の主題による幻想曲　（林大地）
クワイエット・モーメント（P.スパーク）
ウィークエンド・イン・ニューヨーク（P.スパーク）

【Ⅱ部】
バレエ音楽「シバの女王ベルキス」より　（O.レスピーギ　編曲：木村吉宏）

【アンコール】
ワシントンポスト（J.P.スーザ）"
2018/11/10,"第61回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
フラッシング・ウインズ Flashing Winds（ヤン・ヴァン・デル・ロースト）
放課後のマエストロ～風と歩いた未来の道（佐宗綾子）
たなばた The Seventh Night of July（坂井格）

【Ⅱ部】
シャル・ウィ・ダンス？（編曲：宮川彬良）
ラ・ラ・ランド（編曲：辻峰拓）
ニュー・シネマ・パラダイス（編曲：大島ミチル）
ダンシング・クイーン（岩井直溥）
M.ルグランの世界（真島俊夫）

【アンコール】
ヤングマン
ウィーンはいつもウィーン（ヨハン・シュランメル）

【エンディング】
見上げてごらん夜の星を（いずみたく　編曲：山下国俊）"
2018/6/9,第47回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
マーチ「ブルースカイ」（高木登古）
森の贈り物（坂井格）
バレエ音楽｛ロミオとジュリエット」より（S.プロコフィエフ　編曲：菅原徳太郎）

【Ⅱ部】 
ウエスト・サイド・ストーリーより
「シンフォニック・ダンス」（Ｌ．バーンスタイン）

【エンディング】
TONIGHT～ウエスト・サイド・ストーリーより～"
2017/11/18,"第60回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
オリエント急行（P.スパーク）
天使の糧（C.フランク/編曲：A.リード））
春の猟犬（A.リード）

【Ⅱ部】
「昭和テレビ特集」
行進曲「コバルトの空」（服部逸郎） 
西部警察PartⅡのテーマ（羽田健太　編曲：高沢智昌
あゝ人生に涙あり～水戸黄門のテーマ～（木下忠司　編曲：郷間幹男）
ジャパニーズ・グラフィティXIX（8時だよ！全員集合）　（編曲：星出尚志）
いい日旅立ち～勝手にしやがれ（ｼﾞｬﾊﾟﾆｰｽﾞ･ｸﾞﾗﾌｨﾃｨ抜粋）　（編曲：金山徹　磯崎敦博）
ど演歌えきすぷれす（編曲：杉浦邦弘）

【アンコール】
川の流れのように　（見岳章　編曲：小島里美）
見上げてごらん夜の星を　（いずみたく　編曲：山下国俊）"
2017/6/10,第46回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
セレモニアル・マーチ（坂井貴祐）
インテルメッツォ〈2017年度全日本吹奏楽コンクール課題曲Ⅲ〉（保科洋）
天虎～虎の女　2017年NHK大河ドラマ「おんな城主　直虎」テーマ曲（菅野よう子　編曲：宮川成治）
眩い星座になるために・・・（八木澤教司）


【Ⅱ部】 
バレエ音楽「スパルタクス」より　スパルタクスとフリーギアのアダージョ（ハチャトリアン　編曲：菅原徳太郎）
歌劇「イーゴリ公」より　ダッタン人の踊り（ポロヴェツ人の踊り）（A.P.ボロディン　編曲M.ハインズレー）"
2016/11/19,"第59回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
アルセナール（ヤン・ヴァンデルロースト）
コーラルブルー沖縄民謡「谷茶前」の主題による交響的印象（真島俊夫）
イースト・コーストの風景（ナイジェル・ヘス）

【Ⅱ部】
テキーラ（チャック・リオ　編明光院正）
パパはマンボがお好き（アル・ホフマン、ビックス・ライヒナー、ディック・マニング　編曲：天野正道） 
A列車で行こう（ビリー・ストレイホーン　編曲：岩井直溥）
情熱大陸（葉加瀬太郎　編曲：天野正道）
ミスティ（エロル・ガーナー）
チュニジアの夜（ディジー・ガレスピー　編曲：真島俊夫））

【アンコール】
オリンピック・マーチ（古関裕而）
見上げてごらん夜の星を（いずみたく　編曲：山下国俊）"
2016/6/11,第45回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
2016年度全日本吹奏楽コンクール課題曲Ⅰ
マーチ・スカイブルー・ドリーム（矢藤学）
梁塵秘抄～熊野古道の幻想～（福島弘和））
アルメニアン・ダンス　パートⅠ（A・リード）


【Ⅱ部】 
バレエ音楽「眠れる森の美女」より（P・チャイコフスキー　編曲：保科洋）
　序奏　リラの妖精 
　ワルツ
荘厳序曲「1812」作品49（P・チャイコフスキー　編曲：淀彰）"
