日付,演奏会名,会場,指揮,演目
1995/11/,"第38回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"フラッシング・ウィンズ（ヴァン＝デル＝ロースト）
吹奏楽のための小狂詩曲（大栗裕）
わらべ唄（兼田敏）
吹奏楽のための交響詩「ぐるりよざ」（伊藤康英）

エル・クンバンチェロ
フレネシー
ミスティー
トリスティーザ
マンボのビート
チュニジアの夜"
1995/6/17,第24回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","英雄行進曲（フレッチャー）
プスタ（ヴァン＝デル＝ロースト）
カンタベリー・コラール（ヴァン＝デル＝ロースト）
オリエント急行（スパーク）

交響的印象「教会のステンドグラス」（レスピーギ）(*)"
1994/11/19,"第37回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"オリンピック序曲（団伊玖磨）
バレエ音楽「シルビア」より「狩りの女神」、「バッカスの行列」（ドリーブ）
スペイン奇想曲（Ｒ＝コルサコフ）

Ｔｈａｔ’ｓ　ａ　ｐｌｅｎｔｙ－サウス・ランパート・ストリート・パレード
虹の彼方に
酒とバラの日々
追憶のテーマ
ファンダンゴ
グラナダ
「南太平洋」メドレー"
1994/6/18,第23回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","カタロニアの栄光（間宮芳生）
東北地方の民謡によるコラージュ（櫛田てつ之扶）
風の詩（後藤洋）
吹奏楽のための叙情的「祭」（伊藤康英）

バレエ音楽「眠りの森の美女」より（チャイコフスキー）(*)"
1993/11/16,"第36回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"剣士の入場（フチーク）
交響詩「魔法使いの弟子」（デュカス）
時の踊り（ポンキエルリ）
交響詩「禿げ山の一夜」（ムソルグスキー）

～ディズニー特集～
エレクトリカル・パレード
ワンマンズ・ドリーム
スーパーカリフラジリスティックエクスピアリドーシャス
右から２番目の星
アンダー・ザ・シー
シンデレラ
アラジン"
1993/6/15,第22回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","行進曲「威風堂々」第５番（エルガー）
ノルウェーの海の情景（エリクセン）
交響詩「スパルタクス」（ヴァン＝デル＝ロースト）

バレエ組曲「スパルタクス」より（ハチャトゥリアン）(*)"
1992/11/14,"第35回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","コマンド・マーチ（バーバー）
ページェント（パーシケッティ）
アダージオ（バーバー）
戸外の序曲（コープランド）

～ビッグ・バンド特集～
イン・ザ・ムード
ムーンライト・セレナーデ
その手はないよ－サヴォイでストンプ
ラヴ・フォー・セール
スター・ダスト
ブルーレディに紅いバラ
ワン・オクロック・ジャンプ
ラ・フィエスタ"
1992/6/20,第21回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","エスパニア・カーニ（マルキーナ）
エル・ゴルペ・ファタル（ブロッセ）
「カルメン」組曲より（ビゼー／シチェドリン）

シンフォニア・タプカーラ（伊福部昭）(*)"
1991/11/16,"第34回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"百年祭祝典序曲（バーンズ）
エレジー（チャンス）
第２組曲（ジェイガー）
パンチネルロ（Ａ．リード）

～Ｉｔ’ｓ　Ｓｈｏｗ　Ｔｉｍｅ～
黒いジャガー
時の過ぎゆくままに
ディック・トレーシー
愛のテーマ～「スーパーマン」
“Ｅ．Ｔ．”のテーマ
コーラス・ライン
ニューヨーク・ニューヨーク"
1991/6/15,第20回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","祝典序曲（ショスタコーヴィチ）
大序曲「１８１２年」（チャイコフスキー）

フリーギアとスパルタクスのアダージオ～「スパルタクス」（ハチャトゥリアン）(*)
バレエ組曲「ガイーヌ」より（ハチャトゥリアン）(*)"
