日付,演奏会名,会場,指揮,演目
1980/11/,"第23回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,
1980/6/,第9回定期演奏会,東京都立川社会教育会館ホール,"阿部光祐(*)
都築啓志",
1979/12/1,"第22回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"行進曲「士官候補生」（スーザ）
オデッセイ序曲（カウディル）
行進曲「秋空に」（上岡洋一）
吹奏楽の為の序曲（兼田敏）
アレルヤ（Ａ．リード）

ロッキーのテーマ
小さな恋のメロディ
遠すぎた橋
タワーリング・インフェルノ
ピンク・パンサー
雨にぬれても
ステイン・アライブ
「スーパーマン」愛のテーマ
マイ・ウェイ"
1979/6/16,第8回定期演奏会,東京都立川社会教育会館ホール,"阿部光祐(*)
都築啓志","行進曲「フリーランス」（スーザ）
吹奏楽のための交響曲（ジェイガー）
セビリアの聖体祭～「イベリア」（アルベニス）
組曲「マ・メール・ロワ」より（ラヴェル）

グリーンスリーブス
マイ・ラブ
ミュージカル「メイム」より
「スーパーマン」のテーマ（Ｊ．ウィリアムズ）"
1978/11/18,"第21回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"ブルー・インパルス（斉藤高順）
「宇宙戦艦ヤマト」より「序曲」と「誕生」
エンド・タイトル～「スター・ウォーズ」（Ｊ．ウィリアムズ）
組曲「惑星」より「木星」（ホルスト）

キャラバン
哀愁のアダージオ
恋のアランフェス
愛するデューク
サニー
ベンジーのテーマ
踊り明かそう"
1978/6/10,第7回定期演奏会,東京都立川社会教育会館ホール,"阿部光祐(*)
都築啓志","エスタンピー（ネリベル）
グラスターより３つのアリア（スチュアート）
リシルド序曲（パレ）
アダージオ（アルビノーニ）(*)
エル・サロン・メヒコ（コープランド）(*)

道化師のギャロップ（カバレフスキー）
アニー・ローリー
サムシング
ブラジリア・カーニバル
スター・ウォーズ（Ｊ．ウィリアムズ）"
1977/11/20,"第20回市民文化祭
吹奏楽演奏会","立川市市民会館
大ホール",都築啓志,"ランドマーク序曲（カウディル）
吹奏楽のためのラプソディ「ジェリコ」（Ｍ．グールド）
～日本のしおり～
赤とんぼ
南部牛追い唄
もぐら追い（小山清茂）
みかんの花咲く丘
荒城の月（柳生季夫編）

～ラテン－ソウル～
エル・クンバンチェロ
サリュート・ザ・デューク
１２番街のラグ
ディ・トゥリッパー
ソウルトレインのテーマ
レッド・ザ・サンシャイン－アクエリアス"
1977/6/11,第6回定期演奏会,東京都立川社会教育会館ホール,"阿部光祐(*)
都築啓志","「詩人と農夫」序曲（スッペ）
エレジー（フォーレ）
狂詩曲「スペイン」（シャブリエ）
バンドの為のバラード（熊田為宏）(*)
アルメニアン・ダンス Part1（Ａ．リード）(*)

アフリカン・シンフォニー
マスカレード
ディスコ・キッド（東海林修）
オー・シャンゼリゼ
ジェラシー"
1976/12/18,"第19回市民文化祭
吹奏楽演奏会",東京都立川社会教育会館ホール,都築啓志,"～マーチ集～
ツェッペリン伯爵行進曲（タイケ）
スポーツ・ショー行進曲（古関裕而）
ブライトン・ビーチ（ラザム）
サーカス・ビー（フィルモア）
フランス軍隊分列行進曲（トゥーリー）
アメリカ古典舞踏組曲（ベネット）
メイン・ストリートにて（岩井直博）

ユーアー・ザ・サンシャイン・オブ・マイ・ライフ
愛は誰の手に
女ひとり
追憶のテーマ
ラヴ・イズ・ジ・アンサー
愛の讃歌"
1976/6/19,第5回定期演奏会,"立川市市民会館
大ホール","阿部光祐(*)
都築啓志","バッカスの行列～バレエ組曲「シルヴィア」（ドリーブ）
シチリアーノとフィナーレ（ヴィヴァルディ）
エルザの大聖堂への行列～歌劇「ローエングリン」（ワーグナー）
ノーザン・ノクターン（Ａ．リード）
バンドのためのシンフォニック・ソング（ベネット）

日本民謡組曲「わらべ唄」（兼田敏）
キューバン・ファンタジー
ムアサイド・マーチ（ホルスト）"
