日付,演奏会名,会場,指揮,演目
2015/11/28,"第58回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール","都築啓志","【Ⅰ部】
風薫る（田中裕香） 
2011年全日本吹奏楽コンクール課題曲「天国の島」（佐藤博昭）
グローバル・バリエーション（ナイジェル・ヘス）

【Ⅱ部】
サウンド・オブ・ミュージック（メドレー）　（岩井直溥）
ミッション・インポッシブル（ラロ・シフリン/編曲：杉本幸一）
ディズニー・プリンセス・メドレー（編曲：鈴木英史）
追憶（マーヴィン・ハムリッシュ/編曲：浦田健次郎）
００７コレクション（編曲：福田洋介）
スター・ウォーズ・メドレー（ジョン・ウイリアムズ/編曲：ジェームズ・H・ハーデン）

【アンコール】
ボギー大佐（ケネス・J・アルフォード）

【エンディング】
TONIGHT～ウエスト・サイド・ストーリーより～"
2015/6/20,第44回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","ソリスト：多久潤一朗

【Ⅰ部】
2015年全日本吹奏楽コンクール課題曲「プロヴァンスの風」（田坂直樹）
マードックからの最後の手紙（特別版）　（樽屋雅徳）
コスモ・エフェクト～フルートと吹奏楽の為の～　（多久潤一朗）

【フルートソリストによるアンコール】
小さな空（武満徹）
ラブソディ・イン・ブルー他（G・ガーシュウィン）

【Ⅱ部】
組曲「展覧会の絵」　（M.P.ムソルグスキ　編曲：高橋徹）"
2014/11/15,"第57回市民文化祭
吹奏楽演奏会","たましんRISURUホール
大ホール",都築啓志,"【Ⅰ部】
マーチ「ブルースカイ」（高木登古）
「斎太郎節」の主題による幻想（合田佳代子)
ＳＦ交響ファンタジー第1番(伊福部昭)

【Ⅱ部】
ポップス描写曲「メイン・ストリートで」(岩井直溥）
アナと雪の女王（ロバート・ロペス、クリスティン・アンダーソン＝ロペス/編曲：マイケル・ブラウン）
映画「ロミオとジュリエット」より（ニーノ・ロータ/編曲真島俊夫）
お酒ソング・コレクション～酔奏楽のための～（編曲：辻峰拓）
ビター・スウィート・ボンバ（ソル・レイク/編曲：郷間幹男）
グレン・ミラー・イン・コンサート（編曲：ポール・マーサ）

【アンコール】
幸福を売る男（Calvet Jean Pierre)
東京オリンピック・マーチ（ファンファーレ付き）（古関裕而）"
2014/6/21,第43回定期演奏会,"たましんRISURUホール
大ホール","都築啓志","ソリスト：三好優美子

【Ⅰ部】
音楽祭のプレリュード（A.リード）
コラールとカプリチオ（C.ジョヴァンニーニ）
アメリカン・エレジー（F.ティケリ）

【Ⅱ部】
ピアノ協奏曲ハ長調（L.アンダーソン）

【Ⅲ部】
バレエ音楽「青銅の騎士」より（R.グリエール/編曲:淀彰）

【アンコール】
シンコペイテッド・クロック（L.アンダーソン）
コメディアンズ・ギャロップ（D.カバレフスキー）
木陰の散歩道（E.F.ゴールドマン）"
2013/11/16,"第56回市民文化祭
吹奏楽演奏会",多摩社会教育会館ホール,都築啓志,"【Ⅰ部】
アメリカンサリュート　（モートン・グールド）
「ウェストサイドストーリー」より「マリア」　（レナード・バーンスタイン）
キャッツテイルズ　（ピーター・グレイアム）

【Ⅱ部】
英雄の証(モンスターハンターより)　（編曲:佐橋俊彦）
ディズニーメドレーII　（編曲・真島俊夫）
私のお気に入り　（編曲者：宮川 彬良）
フライ・ミー・トゥ・ザ・ムーン　（バート・ハワード　編曲：星出 尚志）
ムーンリバー　（ヘンリー・マンシーニ）
サザンオールスターズメドレー　（桑田佳祐）
　
【アンコール】
オリンピック・マーチ　（古関裕而）

【エンディング】
「ウェストサイドストーリー」より　「トゥナイト」　（レナード・バーンスタイン）"
2013/6/15,第42回定期演奏会,多摩社会教育会館ホール,"都築啓志","【Ⅰ部】
行進曲≪南部連合旗≫ 　（ロバート・ジェイガー）
ヒム・トゥ・ブルー・アワー 　（ジョン.・マッキー）
祝典序曲　（ ポール・クレストン）

【Ⅱ部】
歌劇　「運命の力」より序曲 　（ジュゼッペ.・ヴェルディ）
歌劇　「椿姫」より第一幕への前奏曲 　（ジュゼッペ.・ヴェルディ）
歌劇　「椿姫」より乾杯の歌 　（ジュゼッペ.・ヴェルディ）
組曲　「イタリアの印象」より　ラバに乗って 　（ギュスターヴ・シャルパンティエ　編曲：淀彰）
組曲　「イタリアの印象」より　ナポリ 　（ ギュスターヴ・シャルパンティエ　編曲：淀彰）

【アンコール】
歌劇「トゥーランドット」から「誰も寝てはならぬ」　（ジュゼッペ・プッチーニ）
木陰の散歩道 　（エドウィン・フランコ・ゴールドマン）
"
2012/11/10,"第55回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","【Ⅰ部】
アルヴァマー序曲（ジェイムズ・バーンズ）
ロンドンデリーの歌（パーシー・グレインジャー）
ドラゴンの年（フィリップ・スパーク）

【Ⅱ部】
バーン/ディープパープル（リッチー・ブラックモア）
口笛を吹いて働こう/ディズニー映画『白雪姫』より（編曲・真島俊夫）
アニメ・メドレー　久石譲作品集（久石譲）
ゴジラファンタジー（伊福部昭）
Ａ列車で行こう（ウィリアム・トーマス・ビリー・ストレイホーン）
スターダスト（ホーギー・カーマイケル）
美空ひばりメドレー（編曲・山下国俊）
シンフォニック・ビートルズ（編曲・ジョン・カカヴァス） 　　

【アンコール】
男はつらいよ（山本直純）
美中の美（ジョン・フィリップ・スーザ）

【エンディング】
見上げてごらん夜の星を（いずみたく）"
2012/6/16,第41回定期演奏会,"アミューたちかわ
大ホール","都築啓志","【Ⅰ部】
ポルカ「狩り」（ヨハン・シュトラウス2世　　編曲・淀彰）
ポルカ「クラップフェンの森で」（ヨハン・シュトラウス2世　　編曲・淀彰）
4つのスコットランド舞曲（マルコム・アーノルド）

【Ⅱ部】
エル・カミーノ・レアル（アルフレッド・リード）
アーデンの森のロザリンド（アルフレッド・リード）
ダンソン第２番（アルトゥーロ・マルケス）

【アンコール】
舞踏会の美女（ルロイ・アンダーソン）
ウィーンはいつもウィーンヨハン・シュランメル（ヨハン・シュランメル）"
2011/11/19,"第54回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","【Ⅰ部】
行進曲　勝利の父（ルイ＝ガストン・ガンヌ）
カルメン組曲(ジョルジュ・ビゼー)
組曲惑星より木星(グスターヴ・ホルスト)

【Ⅱ部】
ディズニーランド・セレブレーション(編曲・マイケル・ブラウン）
アンパンマンのマーチ（三木たかし）
となりのトトロ（久石譲）
タラのテーマ（マックス・スタイナー）
また逢う日まで（阿久悠）
服部良一コレクション（服部良一）
交響組曲「ハリー・ポッター（賢者の石）」（ジョン・ウィリアムズ）

【アンコール】
マルマルモリモリ（宮下浩司）
北酒場（中村泰士）

【エンディング】
Stand Alone（久石譲）"
2011/6/11,第40回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","【Ⅰ部】
シンコペーテッドマーチ「明日に向かって」（岩井直溥）
アメイジング・グレイス　ウィンズスコア版編曲(不詳)（*）
我が心のフォスター（ステファン・フォスター）
ミシシッピー組曲～音による旅行～（ファーディ・グローフェ）

【Ⅱ部】
ディズニーメドレー（岩井直溥　編曲）
上を向いて歩こう～見上げてごらん夜の星を(ミュージックエイト版編曲)
あすという日が～合唱と小編成吹奏楽のために～（八木澤教司）
ふるさと(岡野貞一)
キャンディード組曲より（レナード・バーンスタイン）"
